MODEL;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY;BATCH_SIZE;EPOCHS;mse;rmse;nrmse;mae;wape;val_mse;val_rmse;val_nrmse;val_mae;val_wape;loss;val_loss
lstm_Model_0;[(168, 6), 24, 1, 32, 0];24;168;256;50;491569.4052958349;701.120107610554;0.07683508028608811;368.670030222841;0.2880568064917708;553077.4104296698;743.6917442258383;0.08254070413161357;397.275277124276;0.27519081853906613;[0.09756563603878021, 0.05475476756691933, 0.046534035354852676, 0.044922564178705215, 0.04405779391527176, 0.04351815953850746, 0.04310014098882675, 0.04281755909323692, 0.04255344346165657, 0.042249567806720734, 0.04201440513134003, 0.041672248393297195, 0.04141206666827202, 0.04116753116250038, 0.04083368554711342, 0.04047248512506485, 0.040191568434238434, 0.039789482951164246, 0.03963584452867508, 0.03923672437667847, 0.0390482135117054, 0.03881806507706642, 0.038745202124118805, 0.038548100739717484, 0.03838623687624931, 0.03846053406596184, 0.03808789327740669, 0.03799770772457123, 0.0379960834980011, 0.03787614777684212, 0.037620510905981064, 0.037833403795957565, 0.037743356078863144, 0.03750564903020859, 0.037405721843242645, 0.03735489398241043, 0.037246618419885635, 0.037269555032253265, 0.037126168608665466, 0.037261638790369034, 0.03698260709643364, 0.036923110485076904, 0.0371091328561306, 0.03696834295988083, 0.036937084048986435, 0.0368398055434227, 0.036708615720272064, 0.03671766072511673, 0.03670841455459595, 0.03670410066843033];[0.08792214095592499, 0.0619957409799099, 0.05889686197042465, 0.05658760666847229, 0.05515560880303383, 0.054130010306835175, 0.05344589799642563, 0.05365970358252525, 0.05261223390698433, 0.052300676703453064, 0.05161258205771446, 0.051536139100790024, 0.05070703849196434, 0.05172533169388771, 0.0507630929350853, 0.0500042624771595, 0.04938231781125069, 0.04915755242109299, 0.05044560506939888, 0.04935019463300705, 0.048798345029354095, 0.04837847873568535, 0.04825368523597717, 0.04831816628575325, 0.04779576137661934, 0.048514474183321, 0.04804182052612305, 0.0475119948387146, 0.048335764557123184, 0.04750650003552437, 0.04775112122297287, 0.04763563349843025, 0.04717635363340378, 0.04668525606393814, 0.04671115055680275, 0.046910881996154785, 0.04637181758880615, 0.046337541192770004, 0.04640507325530052, 0.047357868403196335, 0.04744730144739151, 0.0461873896420002, 0.046389140188694, 0.04580048471689224, 0.04636925831437111, 0.04657738283276558, 0.04660435765981674, 0.04588265344500542, 0.04613381251692772, 0.04715489223599434]
lstm_Model_1;[(168, 6), 24, 1, 64, 0];24;168;256;50;489043.549756879;699.316487548291;0.0766374232929634;361.5242409166413;0.2824735122756319;526932.8124594664;725.9013792929908;0.08056619082053172;383.6694246495235;0.26576610500906295;[0.0862821638584137, 0.04916777089238167, 0.04500792175531387, 0.043932102620601654, 0.04317139461636543, 0.0426022931933403, 0.04229744151234627, 0.04161238670349121, 0.04096843674778938, 0.04063042998313904, 0.03993883728981018, 0.039336029440164566, 0.039006300270557404, 0.03867195546627045, 0.03857428580522537, 0.03840106353163719, 0.038145653903484344, 0.038027405738830566, 0.03792516142129898, 0.03794942796230316, 0.03762655332684517, 0.03770352900028229, 0.037501271814107895, 0.0372823067009449, 0.03725898638367653, 0.03699679672718048, 0.03702094405889511, 0.036952465772628784, 0.037054721266031265, 0.03684551268815994, 0.03677462786436081, 0.03659883141517639, 0.03648095577955246, 0.03651014715433121, 0.03639652207493782, 0.03646831586956978, 0.036126334220170975, 0.03610554337501526, 0.03632959723472595, 0.036126215010881424, 0.03597528859972954, 0.036100566387176514, 0.03596191853284836, 0.035768166184425354, 0.035670120269060135, 0.035597968846559525, 0.0357091948390007, 0.035646725445985794, 0.03558545187115669, 0.0353597067296505];[0.0719553530216217, 0.059054356068372726, 0.05640222504734993, 0.05586399883031845, 0.053447309881448746, 0.05206622928380966, 0.051491353660821915, 0.05127991735935211, 0.050237637013196945, 0.04943187162280083, 0.04978190362453461, 0.04939267411828041, 0.04895493760704994, 0.04937490075826645, 0.04811491444706917, 0.048189856112003326, 0.04773101210594177, 0.04814036935567856, 0.04772120714187622, 0.046620987355709076, 0.04708928242325783, 0.04795270413160324, 0.04682442545890808, 0.046698298305273056, 0.04673736169934273, 0.046300239861011505, 0.046514127403497696, 0.04596977308392525, 0.04660477489233017, 0.046204619109630585, 0.04557965323328972, 0.04579086974263191, 0.04608864337205887, 0.046881068497896194, 0.0460653230547905, 0.04580262675881386, 0.04552412033081055, 0.04487539082765579, 0.04506591707468033, 0.04585566371679306, 0.0463247112929821, 0.04520136117935181, 0.04428967088460922, 0.04584379121661186, 0.04452477768063545, 0.04469938576221466, 0.04470337554812431, 0.045583177357912064, 0.0450877770781517, 0.04527191072702408]
lstm_Model_2;[(168, 6), 24, 1, 128, 0];24;168;256;50;488595.0416141483;698.9957379084284;0.076602272647499;361.819616614235;0.2827043012554486;520916.2732614152;721.7452966673321;0.08010491638927104;382.5621149747724;0.2649990765194556;[0.06743793189525604, 0.044913534075021744, 0.043400105088949203, 0.0422789491713047, 0.041343893855810165, 0.040604278445243835, 0.03947499394416809, 0.039026208221912384, 0.03875812888145447, 0.03826617822051048, 0.037835270166397095, 0.037597209215164185, 0.03721502050757408, 0.037041597068309784, 0.0368175245821476, 0.03681580722332001, 0.036610689014196396, 0.03650971129536629, 0.03629015013575554, 0.036166757345199585, 0.03595271334052086, 0.0359966903924942, 0.0357661098241806, 0.03539000079035759, 0.03523436561226845, 0.03559285029768944, 0.03511141613125801, 0.035083286464214325, 0.0348929725587368, 0.03455431014299393, 0.03468581661581993, 0.034651629626750946, 0.03449903428554535, 0.03435550630092621, 0.03427218273282051, 0.03406814485788345, 0.03407475724816322, 0.03365251421928406, 0.033569298684597015, 0.033520884811878204, 0.033369146287441254, 0.033359214663505554, 0.0333118811249733, 0.03356820344924927, 0.03322005271911621, 0.03299258276820183, 0.03266718611121178, 0.03265102207660675, 0.032461363822221756, 0.032098326832056046];[0.0591723695397377, 0.054084956645965576, 0.05285177007317543, 0.05245547369122505, 0.050715312361717224, 0.05004012584686279, 0.04749304801225662, 0.04702756181359291, 0.04856686294078827, 0.04645643010735512, 0.047374751418828964, 0.046968840062618256, 0.04777504876255989, 0.04664555564522743, 0.046055201441049576, 0.04762992262840271, 0.04528368264436722, 0.04602358490228653, 0.04538721963763237, 0.046628598123788834, 0.04649002104997635, 0.04592054709792137, 0.04501437768340111, 0.04502878710627556, 0.0441625751554966, 0.046244923025369644, 0.045463886111974716, 0.046064507216215134, 0.04507330432534218, 0.04598982632160187, 0.04746781662106514, 0.04669992998242378, 0.046239644289016724, 0.0472625270485878, 0.047729384154081345, 0.0473431833088398, 0.047173138707876205, 0.04742168262600899, 0.04644870385527611, 0.04890821874141693, 0.0471469908952713, 0.048047587275505066, 0.04779529571533203, 0.04938969388604164, 0.04862556606531143, 0.045866452157497406, 0.04856915771961212, 0.04954524338245392, 0.050671208649873734, 0.050326503813266754]
lstm_Model_3;[(168, 6), 24, 2, 32, 0];24;168;256;50;497283.0115502029;705.1829631735319;0.07728032473134597;357.84386292142096;0.27959788408490277;523217.8315227234;723.3379787642313;0.08028168465751734;376.17610668924107;0.2605755169664586;[0.08461717516183853, 0.04966219514608383, 0.04581867903470993, 0.04455533251166344, 0.04370161518454552, 0.043049342930316925, 0.04248461127281189, 0.04175446927547455, 0.04130266234278679, 0.04066522419452667, 0.04002254456281662, 0.03945975378155708, 0.03917226567864418, 0.03891360014677048, 0.03850269317626953, 0.0382172055542469, 0.038131073117256165, 0.03798653930425644, 0.03795322775840759, 0.03766315430402756, 0.03733513131737709, 0.03744875639677048, 0.037327270954847336, 0.037155747413635254, 0.037042226642370224, 0.037028055638074875, 0.03683064132928848, 0.036727841943502426, 0.03655051067471504, 0.03653837740421295, 0.036338262259960175, 0.036243733018636703, 0.036062631756067276, 0.03617176413536072, 0.03591584786772728, 0.03588075935840607, 0.03592805936932564, 0.035703543573617935, 0.03565230593085289, 0.035633619874715805, 0.03557411953806877, 0.03558380901813507, 0.03549639880657196, 0.035346049815416336, 0.03536436706781387, 0.03531825914978981, 0.03530953824520111, 0.03527652472257614, 0.03507709503173828, 0.03503336012363434];[0.07064603269100189, 0.059374790638685226, 0.056210678070783615, 0.05611801519989967, 0.05390805006027222, 0.05362110957503319, 0.052262019366025925, 0.050727713853120804, 0.05095026642084122, 0.049243342131376266, 0.048711732029914856, 0.049418650567531586, 0.04910484328866005, 0.048553723841905594, 0.04821154102683067, 0.04871991649270058, 0.04711325839161873, 0.04677966982126236, 0.04775206744670868, 0.04692854359745979, 0.047088250517845154, 0.047338638454675674, 0.046471018344163895, 0.04603314399719238, 0.04680299013853073, 0.04657786339521408, 0.04586666077375412, 0.04589419439435005, 0.045261189341545105, 0.04696645960211754, 0.045000288635492325, 0.04659686237573624, 0.04500376433134079, 0.044966306537389755, 0.045676641166210175, 0.04498077556490898, 0.04611508920788765, 0.04484067112207413, 0.04456808790564537, 0.044069454073905945, 0.044387683272361755, 0.04443339258432388, 0.04536791518330574, 0.045163314789533615, 0.0439535528421402, 0.045800719410181046, 0.043411362916231155, 0.0447293221950531, 0.04488969221711159, 0.045507367700338364]
