timestamp,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_24
2020-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,443.9118596725166,612.5996118411422,871.6312106698751,1033.663654141128,1112.496643513441,1094.1553846001625,859.2875147238374,605.5367548018694,305.9305854141712,123.09969228226691,42.534715367946774,0.0,16.108488792087883,0.0,0.0,0.0,0.0,0.0
2020-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,591.9977862387896,833.9373679831624,1005.0381902605295,1023.8456526771188,1112.7951223403215,999.6878700330853,673.0690436437726,373.72961789369583,141.0924377385527,0.0,2.9203645419329405,0.0,11.182368185836822,0.0,0.0,0.0,0.0,0.0
2020-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,813.7468717992306,1116.0340506583452,1051.052469573915,932.5002085417509,929.7605115920305,747.1184864640236,416.31145533174276,158.50285701453686,31.817575119202957,0.0,0.0,0.0,7.224946457426995,0.0,0.0,0.0,0.0,0.0
2020-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1018.9959857612848,1274.954054132104,1027.4498911574483,798.5439063981175,602.1159470081329,403.9356687106192,150.1274493522942,2.0985580631531775,0.0,0.0,0.0,0.0,2.574577822815627,0.0,0.0,0.0,0.0,0.0
2020-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1174.93663020432,1273.1719713658094,814.2780968919396,514.5612098276615,250.98839267157018,84.62685088161379,0.0,0.0,0.0,12.725330179091543,5.2225877065211535,2.365095680579543,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1193.8306372612715,1089.1699220985174,538.1572602316737,286.79497726261616,77.90258601307869,0.0,0.0,0.0,0.0,20.810887624975294,3.382657701149583,4.22979254508391,4.391449724789709,0.0,0.0,0.0,0.0,0.0
2020-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1027.355719730258,791.856119222939,293.0837154388428,118.85077217593789,2.548172901151702,0.0,0.0,0.0,0.0,16.588802658952773,15.6949901022017,7.445872819516808,14.360140822827816,0.0,0.0,0.0,0.0,0.0
2020-01-03 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,670.709328725934,432.78156612068415,79.85969707369804,0.0,0.0,0.0,8.534168440382928,0.0,27.58924895315431,26.87176948529668,36.1424459842965,14.466519956476986,5.609065433964133,0.0,0.0,0.0,0.0,0.0
2020-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,318.70681066066027,142.3104129731655,0.0,0.0,6.076219255919568,22.721943072974682,52.41404217667878,15.62935853144154,43.49861922673881,26.572777627734467,46.107360045425594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,119.75393239408731,43.13460981938988,0.0,0.0,6.167098399600945,19.969711208250374,37.98854851629585,3.873393766116351,33.0865302530583,9.762323496397585,12.49474510550499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2791852592490613,3.8817840395495296,0.0,2.8025977429933846,1.9695328664965928,0.0,7.439358945703134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.101851984160021,15.518959984183311,21.418841101694852,0.0,6.5051209850935265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.389007887803018,16.615270194597542,30.17485289601609,12.679678527638316,9.934232200612314,3.679540881421417,0.0,0.0,0.0,0.0,54.50085304910317,216.04560632258654,0.0,0.0,0.0,0.0,0.0
2020-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,8.184430981054902,24.89867570111528,30.926151992753148,41.71454089228064,34.493141213897616,12.952436137129553,9.473048924701288,0.0,0.0,0.0,34.66257464606315,182.95100694522262,402.52245096489787,0.0,0.0,0.0,0.0,0.0
2020-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,26.20993970776908,33.20739543414675,48.80275457398966,50.8785453857854,44.029517110902816,7.969138867338188,4.345307260518894,0.0,0.0,51.65407003369182,84.0654741274193,274.58568727597594,499.8407356441021,0.0,0.0,0.0,0.0,0.0
2020-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,22.90338627062738,34.54729624791071,54.03618055861443,32.36120181973092,20.42878277716227,0.0,0.0,0.0,76.64935304783285,222.0034679863602,400.3595136106014,490.5312728136778,623.6089432612062,0.0,0.0,0.0,0.0,0.0
2020-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,38.512049871496856,33.283180568832904,54.27574164932594,4.185946600046009,0.0,0.0,0.0,39.25757232354954,214.13231696933508,393.2019680738449,764.5278554409742,702.7243176475167,706.5046831965446,0.0,0.0,0.0,0.0,0.0
2020-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,55.400167556945235,26.202625990845263,43.05975581519306,0.0,0.0,0.0,0.0,102.93100192211568,337.7530302852392,513.8130091130733,1017.482003942132,805.6202718988061,683.0750647932291,0.0,0.0,0.0,0.0,0.0
2020-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,28.82469752803445,18.308041186537594,4.508461116347462,0.0,14.765128050930798,59.294801601208746,181.22470313683152,342.17120204120874,590.6455827876925,675.6350049749017,1133.7338838726282,833.9773116633296,617.8407009691,0.0,0.0,0.0,0.0,0.0
2020-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3340413570404053,0.0,0.0,138.14175995066762,185.71791471913457,435.17333939671516,586.7453215643764,771.7742724344134,788.6718710884452,1067.7246255800128,698.0406949296594,448.4009993262589,0.0,0.0,0.0,0.0,0.0
