date,daily_generation_kWh,daily_capacity_kW,generation_per_kW,scaled_generation_kWh,Tariff_GBP,Cost_per_kW_GBP,revenue_GBP,cumulative_revenue_GBP,ROI_percent
2017-07-12,53402.0,8261.0,6.4643505628858495,6464.350562885849,0.050300000000000004,1480.0,325.15683331315824,181613.09732265215,10.08961651792512
2017-07-13,48866.0,8261.0,5.915264495823751,5915.264495823751,0.050300000000000004,1480.0,297.5378041399347,181910.63512679207,10.106146395932893
2017-07-14,47316.0,8261.0,5.727635879433483,5727.635879433483,0.050300000000000004,1480.0,288.1000847355042,182198.7352115276,10.122151956195976
2017-07-15,25696.0,8261.0,3.1105193075898803,3110.51930758988,0.050300000000000004,1480.0,156.459121171771,182355.19433269935,10.13084412959441
2017-07-16,39926.0,8261.0,4.833071056772788,4833.071056772787,0.050300000000000004,1480.0,243.10347415567122,182598.29780685503,10.144349878158613
2017-07-17,66638.0,8261.0,8.066577896138481,8066.577896138481,0.050300000000000004,1480.0,405.74886817576567,183004.04667503078,10.166891481946154
2017-07-18,57914.0,8261.0,7.010531412661905,7010.531412661905,0.050300000000000004,1480.0,352.62973005689383,183356.67640508767,10.186482022504869
2017-07-19,24287.0,8261.0,2.9399588427551144,2939.9588427551143,0.050300000000000004,1480.0,147.87992979058225,183504.55633487826,10.194697574159903
2017-07-20,44276.0,8261.0,5.359641689868055,5359.641689868055,0.050300000000000004,1480.0,269.5899770003632,183774.14631187863,10.20967479510437
2017-07-21,32073.0,8261.0,3.8824597506355163,3882.4597506355162,0.050300000000000004,1480.0,195.28772545696648,183969.4340373356,10.220524113185311
2017-07-22,35675.0,8261.0,4.318484444982448,4318.484444982448,0.050300000000000004,1480.0,217.21976758261715,184186.6538049182,10.23259187805101
2017-07-23,37653.0,8261.0,4.557922769640479,4557.922769640479,0.050300000000000004,1480.0,229.2635153129161,184415.91732023112,10.245328740012841
2017-07-24,37292.0,8261.0,4.5142234596295845,4514.223459629585,0.050300000000000004,1480.0,227.06544001936814,184642.98276025048,10.257943486680581
2017-07-25,49080.0,8261.0,5.941169349957632,5941.169349957632,0.050300000000000004,1480.0,298.8408183028689,184941.82357855336,10.274545754364075
2017-07-26,25943.0,8261.083333333334,3.140387156648139,3140.387156648139,0.050300000000000004,1480.0,157.9614739794014,185099.78505253277,10.283321391807377
2017-07-27,34530.0,8263.0,4.178869659929807,4178.869659929807,0.050300000000000004,1480.0,210.19714389446932,185309.98219642724,10.294999010912624
2017-07-28,27557.0,8263.0,3.334987292750817,3334.987292750817,0.050300000000000004,1480.0,167.74986082536608,185477.7320572526,10.304318447625144
2017-07-29,32634.0,8263.0,3.949413046109161,3949.4130461091613,0.050300000000000004,1480.0,198.65547621929082,185676.3875334719,10.315354862970661
